Date,Gold_Toman,USD_Toman,Ounce_Toman,Oil_Toman,SMA_7,SMA_30,EMA_12,EMA_26,MACD,MACD_Signal,RSI_14,Bollinger_Upper,Bollinger_Lower,Gold_Toman_Lag_1,Gold_Toman_Lag_2,Gold_Toman_Lag_3,Gold_Toman_Lag_7,USD_Toman_Lag_1,USD_Toman_Lag_2,USD_Toman_Lag_3,USD_Toman_Lag_7,Ounce_Toman_Lag_1,Ounce_Toman_Lag_2,Ounce_Toman_Lag_3,Ounce_Toman_Lag_7,Gold_PCT_Change,USD_PCT_Change,Target_NextDay_Price
2023-08-31,2329400.0,49020.0,95010561.61,4257877.23,2322000.0,2330005.3333333335,2320582.174583588,2323976.6479914417,-3394.4734078538604,-7316.196474175847,57.833935018050546,2355921.858436475,2276608.141563525,2329400.0,2331500.0,2322500.0,2313000.0,49020.0,49101.0,49076.0,49167.0,95309588.39,95084086.5,94122861.6,94326889.5,0.0,0.0,2363400.0
2023-09-02,2363400.0,49666.0,96262638.77,4313988.79,2329200.0,2331022.0,2327169.532339959,2326896.8962883716,272.6360515872948,-5798.429969023218,67.4748669426375,2359454.948306557,2274465.051693443,2329400.0,2329400.0,2331500.0,2313000.0,49020.0,49020.0,49101.0,49167.0,95010561.61,95309588.39,95084086.5,94312137.0,1.4596033313299506,1.317829457364339,2370800.0
2023-09-03,2370800.0,49640.0,96212245.58,4311730.43,2336885.714285714,2332508.6666666665,2333881.9119799654,2330148.978044789,3732.933935176581,-3892.1571881832583,68.83852691218131,2364805.242118116,2271244.757881884,2363400.0,2329400.0,2329400.0,2317000.0,49666.0,49020.0,49020.0,49162.0,96262638.77,95010561.61,95309588.39,94302546.0,0.3131082339003166,-0.05234969596907835,2362500.0
2023-09-04,2362500.0,49604.0,96142470.38,4308603.47,2344214.285714286,2332332.0,2338284.6947522787,2332545.350041471,5739.344710807782,-1965.8568083850505,84.55114822546973,2370908.1580683985,2269231.8419316015,2370800.0,2363400.0,2329400.0,2311200.0,49640.0,49666.0,49020.0,49013.0,96212245.58,96262638.77,95010561.61,94016734.21,-0.35009279568077867,-0.07252215954874908,2362500.0
2023-09-05,2362500.0,49604.0,95547222.38,4466344.21,2349928.5714285714,2331355.3333333335,2342010.126328851,2334764.213001362,7245.913327489048,-123.50278121023075,82.53343823760818,2376410.2942879735,2267869.7057120265,2362500.0,2370800.0,2363400.0,2322500.0,49604.0,49640.0,49666.0,49076.0,96142470.38,96212245.58,96262638.77,94122861.6,0.0,0.0,2353400.0
2023-09-07,2353400.0,49591.0,95090742.5,4459222.63,2353057.1428571427,2330278.0,2343762.414585951,2336144.6416679276,7617.772918023169,1424.7523586364493,67.73195876288659,2379751.1089713154,2267668.8910286846,2362500.0,2362500.0,2370800.0,2331500.0,49604.0,49604.0,49640.0,49101.0,95547222.38,96142470.38,96212245.58,95084086.5,-0.3851851851851884,-0.026207563906133213,2345600.0
2023-09-09,2345600.0,49665.0,95232637.5,4465876.71,2355371.4285714286,2329563.3333333335,2344045.1200342663,2336845.0385814146,7200.081452851649,2579.8181774794893,64.34867776689521,2381929.080107872,2269280.919892128,2353400.0,2362500.0,2362500.0,2329400.0,49591.0,49604.0,49604.0,49020.0,95090742.5,95547222.38,96142470.38,95309588.39,-0.3314353701028283,0.14922062471012243,2341400.0
2023-09-10,2341400.0,49575.0,95060062.5,4457783.91,2357085.714285714,2328930.0,2343638.178490533,2337182.4431309393,6455.73535959376,3355.0016139023437,63.786407766990294,2383271.0873723333,2271648.9126276667,2345600.0,2353400.0,2362500.0,2329400.0,49665.0,49591.0,49604.0,49020.0,95232637.5,95090742.5,95547222.38,95010561.61,-0.1790586630286528,-0.18121413470251202,2335700.0
2023-09-11,2335700.0,49700.0,95588012.43,4504807.97,2353128.5714285714,2328400.0,2342416.9202612205,2337072.6325286473,5344.287732573226,3752.8588376365205,60.441582336706524,2383855.814127424,2274204.185872576,2341400.0,2345600.0,2353400.0,2363400.0,49575.0,49665.0,49591.0,49666.0,95060062.5,95232637.5,95090742.5,96262638.77,-0.2434440932775228,0.2521432173474558,2348600.0
2023-09-12,2348600.0,49931.0,95433122.74,4596647.74,2349957.1428571427,2328663.3333333335,2343368.163297956,2337926.511600599,5441.6516973567195,4090.6174095805604,63.435374149659864,2379097.31088403,2287502.68911597,2335700.0,2341400.0,2345600.0,2370800.0,49700.0,49575.0,49665.0,49640.0,95588012.43,95060062.5,95232637.5,96212245.58,0.5522969559446755,0.46478873239437224,2348600.0
